admin_unit_code,sub_unit_code,site_name,plot_name,location_type,year,date,start_time,end_time,observer,visit,interval_length,id_method,distance,flyover_observed,sex,common_name,scientific_name,acceptedtsn,npstaxoncode,aou_code,pif_watchlist_status,regional_stewardship_status,temperature,humidity,sky,wind,disturbance,initial_three_min_cnt,habitat_type,taxoncode,previously_obs,month,season
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,7.5 - 10 min,Visualization,50.0,False,,Carolina Chickadee,Poecile carolinensis,554383.0,265876.0,CACH,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,85846.0,EAWP,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Calling,50.0,False,,American Crow,Corvus brachyrhynchos,179731.0,87106.0,AMCR,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,94257.0,INBU,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,50.0,False,,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,7.5 - 10 min,Singing,50.0,False,Undetermined,Yellow Warbler,Setophaga petechia,950039.0,773778.0,YEWA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Visualization,50.0,False,,Mourning Dove,Zenaida macroura,177125.0,82737.0,MODO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,50.0,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,5 - 7.5 min,Calling,50.0,False,,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,84865.0,RBWO,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,7.5 - 10 min,Singing,50.0,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,50.0,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,50.0,False,,Eastern Bluebird,Sialia sialis,179801.0,87184.0,EABL,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Calling,50.0,False,,Downy Woodpecker,Picoides pubescens,178259.0,84936.0,DOWO,False,True,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,50.0,False,Undetermined,Chipping Sparrow,Spizella passerina,179435.0,84781.0,CHSP,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Singing,50.0,False,,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Calling,50.0,False,,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,7.5 - 10 min,Singing,50.0,False,,Baltimore Oriole,Icterus galbula,179083.0,93655.0,BAOR,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,50.0,False,,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Calling,50.0,False,,Great Crested Flycatcher,Myiarchus crinitus,178309.0,85791.0,GCFL,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Singing,50.0,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,85846.0,EAWP,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,7.5 - 10 min,Singing,50.0,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Singing,50.0,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,94257.0,INBU,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Calling,50.0,False,,Mourning Dove,Zenaida macroura,177125.0,82737.0,MODO,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,50.0,False,,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,7.5 - 10 min,Singing,50.0,False,Undetermined,Chipping Sparrow,Spizella passerina,179435.0,84781.0,CHSP,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,5 - 7.5 min,Singing,50.0,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,83803.0,EATO,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,50.0,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,5 - 7.5 min,Calling,50.0,False,,Blue-gray Gnatcatcher,Polioptila caerulea,179853.0,88038.0,BGGN,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Calling,50.0,False,,Carolina Chickadee,Poecile carolinensis,554383.0,265876.0,CACH,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,5 - 7.5 min,Calling,50.0,False,,Cedar Waxwing,Bombycilla cedrorum,178532.0,88296.0,CEDW,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Singing,50.0,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,83803.0,EATO,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50.0,False,,Blue Jay,Cyanocitta cristata,179680.0,86252.0,BLJA,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,7.5 - 10 min,Visualization,50.0,False,Undetermined,Eastern Bluebird,Sialia sialis,179801.0,87184.0,EABL,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50.0,False,,American Goldfinch,Spinus tristis,179236.0,95300.0,AMGO,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Visualization,,True,,Cedar Waxwing,Bombycilla cedrorum,178532.0,88296.0,CEDW,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,50.0,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,94257.0,INBU,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Visualization,,True,,Red-winged Blackbird,Agelaius phoeniceus,179045.0,93613.0,RWBL,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,50.0,False,,Northern Mockingbird,Mimus polyglottos,178620.0,88394.0,NOMO,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50.0,False,,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,50.0,False,,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,7.5 - 10 min,Visualization,50.0,False,Male,Pileated Woodpecker,Dryocopus pileatus,178166.0,84833.0,PIWO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,7.5 - 10 min,Visualization,50.0,False,Undetermined,Pileated Woodpecker,Dryocopus pileatus,178166.0,84833.0,PIWO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50.0,False,,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Visualization,50.0,False,Undetermined,Brown-headed Cowbird,Molothrus ater,179112.0,94215.0,BHCO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,50.0,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,50.0,False,,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,50.0,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,85846.0,EAWP,False,True,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,,Cedar Waxwing,Bombycilla cedrorum,178532.0,88296.0,CEDW,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50.0,False,,Blue-gray Gnatcatcher,Polioptila caerulea,179853.0,88038.0,BGGN,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Visualization,50.0,False,Male,Brown-headed Cowbird,Molothrus ater,179112.0,94215.0,BHCO,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,,Cedar Waxwing,Bombycilla cedrorum,178532.0,88296.0,CEDW,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,50.0,False,,Carolina Chickadee,Poecile carolinensis,554383.0,265876.0,CACH,False,True,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50.0,False,,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50.0,False,,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,84865.0,RBWO,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,50.0,False,Undetermined,Red-eyed Vireo,Vireo olivaceus,179021.0,93587.0,REVI,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50.0,False,,Eastern Bluebird,Sialia sialis,179801.0,87184.0,EABL,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Calling,50.0,False,,Unidentified Chickadee,Poecile,553526.0,263793.0,UNCH,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,0-2.5 min,Singing,50.0,False,,Eastern Tufted Titmouse,Baeolophus bicolor,554138.0,266957.0,ETTI,False,False,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,0-2.5 min,Singing,50.0,False,,Acadian Flycatcher,Empidonax virescens,178339.0,85824.0,ACFL,False,True,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,5 - 7.5 min,Singing,50.0,False,,American Goldfinch,Spinus tristis,179236.0,95300.0,AMGO,False,False,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,2.5 - 5 min,Calling,50.0,False,,Blue-gray Gnatcatcher,Polioptila caerulea,179853.0,88038.0,BGGN,False,False,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,5 - 7.5 min,Calling,50.0,False,,Brown-headed Cowbird,Molothrus ater,179112.0,94215.0,BHCO,False,False,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,Forest,,,5,Spring
